,city,density,lat,lng
34,Manhattan,28653.9,40.7834,-73.9662
920,West New York,20091.6,40.7857,-74.0094
745,Union City,19912.5,40.7675,-74.0323
3599,Guttenberg,18829.8,40.7928,-74.0049
837,Hoboken,18017.1,40.7452,-74.0281
17,Brooklyn,15200.5,40.6501,-73.9496
38,Bronx,13356.3,40.8501,-73.8662
0,New York,10943.7,40.6943,-73.9249
1790,Cliffside Park,10333.5,40.8222,-73.9879
1259,Kiryas Joel,9660.1,41.3411,-74.1667
3152,Isla Vista,9607.9,34.4128,-119.8614
704,Passaic,8583.8,40.8574,-74.1282
2072,Langley Park,8565.9,38.9897,-76.9808
19,Queens,8503.7,40.7498,-73.7976
2066,Sunny Isles Beach,8453.1,25.9385,-80.1246
1864,Maywood,8103.8,33.9886,-118.1877
7510,Silver Lake,7979.2,40.7804,-74.1829
2865,Walnut Park,7957.9,33.9682,-118.222
7548,Friendship Heights Village,7695.0,38.9633,-77.0898
151,Jersey City,7584.1,40.7184,-74.0686
587,Somerville,7548.0,42.3908,-71.1014
2048,Cudahy,7328.2,33.9631,-118.183
9487,East Lansdowne,7278.0,39.944,-75.2608
2036,Central Falls,7269.7,41.8901,-71.3934
281,Paterson,7235.4,40.9147,-74.1624
1326,West Hollywood,7177.6,34.0883,-118.3719
1356,Westmont,7167.8,33.9417,-118.3018
2240,Lennox,7164.3,33.938,-118.3586
379,Cambridge,7109.8,42.3759,-71.1185
13,San Francisco,6916.7,37.7558,-122.4449
898,Huntington Park,6888.1,33.98,-118.2167
1173,Chelsea,6866.9,42.3959,-71.0325
2941,Fairview,6828.1,40.8182,-74.0022
711,East Orange,6801.0,40.7651,-74.2117
4189,New Square,6799.8,41.141,-74.0294
799,Florence-Graham,6790.8,33.9682,-118.2447
3054,East Rancho Dominguez,6684.6,33.8949,-118.1956
3627,Caño Martin Peña,6456.9,18.4309,-66.0507
667,Mount Vernon,6375.8,40.9136,-73.8291
1396,Spring Valley,6344.0,41.1151,-74.0486
2247,Palisades Park,6292.6,40.8472,-73.9966
2298,Harrison,6247.9,40.7431,-74.1531
6161,Kaser,6246.0,41.1214,-74.0684
1165,Fort Lee,6106.4,40.8509,-73.9713
1485,Lawndale,6091.2,33.8884,-118.3531
1199,Bell Gardens,6070.5,33.9663,-118.155
1337,Long Beach,6048.5,40.5887,-73.666
1420,Garfield,5944.5,40.8791,-74.1085
400,East Los Angeles,5937.6,34.0326,-118.1691
5066,Great Neck Plaza,5918.8,40.7869,-73.7262
3000,Edgewater,5782.8,40.8237,-73.974
10648,Bellerose Terrace,5764.7,40.7221,-73.7252
31256,Vancouver,5749.9,49.25,-123.1
1162,Waipahu,5748.4,21.3859,-158.0101
1176,Aventura,5740.4,25.9566,-80.1371
5343,Manorhaven,5702.5,40.8399,-73.7127
3135,Hawaiian Gardens,5643.9,33.8304,-118.0728
6012,Bay Harbor Islands,5642.9,25.8877,-80.1334
967,Everett,5563.9,42.4064,-71.0545
870,Berwyn,5526.6,41.8433,-87.7909
861,Fountainebleau,5508.1,25.7723,-80.346
556,Cicero,5478.7,41.8445,-87.7593
13653,Millbourne,5475.3,39.9637,-75.2528
538,Hawthorne,5450.4,33.9147,-118.3476
9520,Colwyn,5315.3,39.9119,-75.253
9,Boston,5303.2,42.3188,-71.0852
5699,Prospect Park,5216.6,40.938,-74.1736
2342,Hermosa Beach,5212.4,33.8653,-118.3962
758,Lynwood,5207.8,33.924,-118.2016
